strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
White Fire OG,hybrid,Earthy,Sweet,Pungent,Relaxed,100,Euphoric,94.81263349,Happy,79.87508899,Uplifted,79.7165232,Creative,61.19021423,Stress,100,Depression,86.13296399,Pain,61.50138504,Lack of Appetite,57.00831025,Muscle Spasms,49.2132964,Dry Mouth,100,Dry Eyes,51.49431738,Headache,30.6019363,Paranoid,23.93714045,Dizzy,22.46386979
Sour Diesel,sativa,Diesel,Earthy,Pungent,Happy,100,Energetic,82.08415474,Uplifted,80.82272225,Euphoric,73.95054697,Creative,60.97325871,Stress,100,Depression,91.5527793,Pain,68.29631223,Fatigue,41.57157759,Lack of Appetite,37.65921251,Dry Mouth,100,Dry Eyes,60.35956909,Paranoid,38.99766074,Anxious,35.38506843,Dizzy,28.44780649
Ice,hybrid,Pepper,Earthy,Menthol,Happy,100,Uplifted,92.48184537,Relaxed,89.70525416,Focused,83.93848783,Euphoric,75.30969671,Stress,100,Depression,85.24374177,Pain,84.14580588,Fatigue,60.25472112,Nausea,36.97848046,Dry Mouth,100,Dizzy,47.11437566,Paranoid,45.43546695,Headache,42.91710388,Dry Eyes,42.81217209
Tangie,sativa,Citrus,Orange,Sweet,Uplifted,100,Happy,97.76120259,Energetic,78.43233059,Euphoric,74.70288094,Creative,61.27639201,Depression,100,Stress,92.48375867,Pain,60.19413199,Fatigue,50.30497245,Eye Pressure,23.92115851,Dry Mouth,100,Dry Eyes,58.94403196,Anxious,26.0282169,Paranoid,20.46279649,Dizzy,14.98554961
Alien Asshat,hybrid,Citrus,Pungent,Earthy,Happy,100,Giggly,97.07602339,Relaxed,97.07602339,Talkative,94.15204678,Sleepy,91.22807018,Stress,100,Depression,80,Fatigue,60,Pain,60,Nausea,40,Dizzy,100,Dry Mouth,100,,,,,,
Melon Gum,hybrid,Lavender,Citrus,Earthy,Happy,100,Relaxed,99.70326409,Uplifted,67.06231454,Creative,66.76557864,Focused,65.87537092,Stress,100,Fatigue,90,Depression,80,Pain,80,Inflammation,60,Dry Mouth,100,Dizzy,27.27272727,Dry Eyes,27.27272727,Paranoid,18.18181818,Anxious,9.090909091
Allen Wrench,sativa,Citrus,Earthy,Pungent,Focused,100,Happy,96.41376352,Energetic,94.49554401,Uplifted,74.50316923,Euphoric,63.36915598,Stress,100,Depression,83.96589659,Pain,60.97359736,Fatigue,50,Lack of Appetite,42.40924092,Dry Mouth,100,Dry Eyes,54.76718404,Dizzy,10.19955654,Paranoid,9.179600887,Anxious,7.139689579
Calyx OG,hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skunk No. 1,hybrid,Pungent,Skunk,Earthy,Relaxed,100,Happy,96.49036571,Uplifted,93.49386209,Energetic,90.37318983,Euphoric,83.60396827,Pain,100,Muscle Spasms,86.45602295,Stress,72.83029151,Depression,68.0215438,Insomnia,47.18893591,Dry Mouth,100,Paranoid,42.10073687,Dry Eyes,15.77132001,Anxious,13.32621667,Dizzy,6.42989551
Cinex,sativa,Earthy,Pungent,Woody,Uplifted,100,Energetic,66.48813972,Focused,62.2595422,Happy,53.15549835,Relaxed,50.75368817,Depression,100,Stress,67.68318063,Fatigue,48.32196831,Pain,33.72378638,Lack of Appetite,28.66451185,Dry Mouth,100,Dry Eyes,55.01676219,Paranoid,43.80407603,Dizzy,28.72529929,Headache,22.18279082
Platinum Kush,indica,Spicy/Herbal,Sweet,Earthy,Relaxed,100,Euphoric,66.60988654,Uplifted,61.06239058,Happy,59.87960836,Focused,51.94941391,Stress,100,Pain,82.39918352,Insomnia,69.85841747,Depression,68.11284969,Lack of Appetite,62.3357793,Dry Mouth,100,Paranoid,64.63392288,Dry Eyes,55.94552957,Dizzy,44.35495365,Anxious,43.85375239
Platinum Purple Kush,indica,Earthy,Tea,Grape,Relaxed,100,Sleepy,82.52171216,Happy,78.39640199,Focused,62.36042184,Giggly,51.90756824,Stress,100,Insomnia,83.86757751,Pain,69.88964792,Muscle Spasms,50.18392013,Depression,41.14555964,Dry Mouth,100,Dry Eyes,12.16674746,Dizzy,6.446921958,Paranoid,1.454192923,Anxious,0.727096461
Hashberry,indica,Sweet,Berry,Blueberry,Relaxed,100,Happy,96.15544472,Euphoric,94.82543641,Sleepy,90.64837905,Hungry,12.03241895,Stress,100,Pain,96.46542261,Insomnia,95.06037322,Lack of Appetite,90.82327113,Inflammation,86.93743139,Dry Eyes,100,Dry Mouth,79.83425414,Paranoid,46.68508287,Dizzy,37.84530387,Anxious,37.84530387
Golden Nugget,hybrid,Skunk,Tropical,Pine,Happy,100,Talkative,83.82352941,Energetic,70.58823529,Focused,66.17647059,Euphoric,60.29411765,Depression,100,Stress,83.33333333,Fatigue,79.62962963,Nausea,42.59259259,Insomnia,25.92592593,Dry Mouth,100,Dry Eyes,85.18518519,,,,,,
El Niño,hybrid,Sweet,Earthy,Tropical,Happy,100,Relaxed,98.94736842,Uplifted,80.52631579,Giggly,78.42105263,Euphoric,26.84210526,Stress,100,Insomnia,90.56603774,Pain,84.90566038,Depression,83.01886792,Lack of Appetite,77.35849057,Dry Mouth,100,Dry Eyes,19.56521739,Headache,10.86956522,Paranoid,6.52173913,Dizzy,2.173913043
IFC OG,indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Dream,sativa,Mango,Sweet,Tropical,Uplifted,100,Talkative,87,Euphoric,80,Hungry,74,Happy,68,Stress,100,Pain,61.53846154,Depression,57.69230769,Lack of Appetite,11.53846154,Fatigue,9.615384615,Dry Mouth,100,Headache,64.70588235,Anxious,61.76470588,Dry Eyes,26.47058824,Dizzy,8.823529412
Mataro Blue,indica,Citrus,Earthy,Flowery,Relaxed,100,Happy,66.35565313,Hungry,41.76728869,Euphoric,33.36992316,Sleepy,32.54665203,Insomnia,100,Fatigue,82.40165631,Eye Pressure,59.62732919,Depression,53.83022774,Pain,52.79503106,Dry Mouth,100,Dizzy,50,Dry Eyes,40.79320113,Headache,12.03966006,Paranoid,6.373937677
Jamba Juice,hybrid,Sweet,Berry,Pine,Creative,100,Happy,29.16666667,Relaxed,20.83333333,Uplifted,16.66666667,Tingly,12.5,Stress,100,Cramps,7.142857143,Fatigue,7.142857143,Depression,3.571428571,Lack of Appetite,3.571428571,Headache,100,,,,,,,,
Ultimate Trainwreck,sativa,Tropical,Spicy/Herbal,Mint,Euphoric,100,Energetic,88.05970149,Focused,86.56716418,Happy,86.56716418,Hungry,74.62686567,Stress,100,Pain,80,Nausea,46.66666667,Depression,33.33333333,Fatigue,26.66666667,Dry Mouth,100,Dry Eyes,82.35294118,Dizzy,29.41176471,Headache,11.76470588,Paranoid,11.76470588
Maui Haole,hybrid,Pungent,Tropical,Earthy,Happy,100,Creative,96.55172414,Euphoric,96.55172414,Aroused,89.65517241,Sleepy,13.79310345,Depression,100,Muscle Spasms,100,Stress,100,Pain,75,Seizures,75,Dizzy,100,Dry Mouth,100,,,,,,
Easy Bud,hybrid,Sweet,Woody,Pine,Relaxed,100,Sleepy,94.44444444,Focused,88.88888889,Euphoric,11.11111111,Aroused,5.555555556,Lack of Appetite,100,Stress,100,Depression,5.882352941,Dry Mouth,100,Dry Eyes,94.11764706,Anxious,94.11764706,,,,,,,,
Doobiebird Daydream,hybrid,Sweet,Blueberry,Berry,Happy,100,Euphoric,89,Uplifted,86,Relaxed,82,Tingly,64,Depression,100,Stress,100,Eye Pressure,69.44444444,Headaches,19.44444444,Dry Mouth,100,Headache,100,,,,,,,,
Green Poison,indica,Earthy,Sweet,Citrus,Relaxed,100,Happy,53.11345371,Euphoric,48.20999896,Sleepy,47.58375952,Focused,39.18588874,Headaches,100,Muscle Spasms,80.01612368,Pain,75.98994641,Insomnia,53.81514677,Depression,52.39246929,Dry Mouth,100,Headache,59.19981023,Dry Eyes,32.99596742,Dizzy,21.04056298,Anxious,13.23634063
Serious 6,sativa,Spicy/Herbal,Woody,Chemical,Relaxed,100,Energetic,85.18518519,Focused,85.18518519,Uplifted,20,Creative,20,Eye Pressure,100,Stress,24,Depression,12,Fatigue,12,Inflammation,8,Anxious,100,Dry Eyes,50,Dry Mouth,50,Paranoid,50,,
Lemon Alien Dawg,hybrid,Lemon,Earthy,Sweet,Relaxed,100,Happy,80.79470199,Euphoric,51.32450331,Focused,43.70860927,Sleepy,42.71523179,Stress,100,Nausea,87.91946309,Depression,47.65100671,Pain,28.18791946,Insomnia,24.16107383,Dry Mouth,100,Dry Eyes,80.70175439,Dizzy,21.05263158,Headache,21.05263158,Anxious,1.754385965
Tangerine Dream,hybrid,Citrus,Orange,Sweet,Happy,100,Energetic,90.3931207,Relaxed,81.34742711,Euphoric,76.99097036,Uplifted,63.56404148,Pain,100,Stress,89.72667725,Depression,69.10240343,Fatigue,45.28166906,Inflammation,40.67724374,Dry Mouth,100,Dry Eyes,86.7157983,Anxious,50.84239682,Paranoid,32.86133356,Headache,9.560041645
Orange Durban,sativa,Orange,Citrus,Sweet,Uplifted,100,Energetic,89.67741935,Focused,80.64516129,Happy,76.12903226,Creative,56.77419355,Depression,100,Fatigue,54.32098765,Headaches,54.32098765,Eye Pressure,45.67901235,Lack of Appetite,45.67901235,Dry Eyes,100,Dry Mouth,45.36082474,Headache,7.216494845,,,,
Sugar Kush,indica,Pine,Sweet,Woody,Relaxed,100,Happy,57.04003599,Euphoric,55.06072874,Sleepy,52.4291498,Hungry,48.80791723,Stress,100,Depression,97.3857935,Lack of Appetite,94.87721151,Nausea,88.88302086,Insomnia,55.84895696,Dry Mouth,100,Dry Eyes,92.19858156,Paranoid,53.19148936,Anxious,53.19148936,Dizzy,7.80141844
Bubba Kush,indica,Earthy,Sweet,Woody,Relaxed,100,Sleepy,71.20156465,Euphoric,57.58304416,Happy,57.5202267,Hungry,40.56884014,Stress,100,Insomnia,88.66126747,Pain,77.43187768,Depression,70.52620852,Lack of Appetite,51.9037894,Dry Mouth,100,Dry Eyes,51.58253603,Anxious,25.55635984,Dizzy,18.61500437,Headache,15.94650244
Gorilla Cookies,hybrid,Earthy,Woody,Mint,Relaxed,100,Euphoric,99.16117436,Happy,95.08687837,Uplifted,70.64110246,Creative,59.31695626,Stress,100,Pain,82.81893004,Depression,63.47736626,Insomnia,32.61316872,Lack of Appetite,28.39506173,Dry Mouth,100,Dry Eyes,52.079566,Anxious,16.36528029,Dizzy,6.690777577,Paranoid,1.898734177
Bubba OG,indica,Sweet,Pungent,Diesel,Relaxed,100,Sleepy,70.64071834,Hungry,49.62486547,Happy,25.5668613,Euphoric,18.77232479,Insomnia,100,Stress,57.61516171,Lack of Appetite,41.15633904,Pain,25.38925346,Depression,19.50020583,Dry Eyes,100,Dry Mouth,84.19035991,Dizzy,10.0141575,Paranoid,8.486706238,Headache,3.019833487
OG Chem,hybrid,Diesel,Pine,Earthy,Happy,100,Euphoric,85.11904762,Focused,80.33588435,Creative,72.93792517,Energetic,71.40731293,Stress,100,Depression,97.5724882,Pain,86.91840863,Fatigue,84.49089683,Nausea,28.45583277,Dizzy,100,Anxious,100,Dry Mouth,80.50632911,Dry Eyes,65.69620253,Paranoid,22.27848101
Maui Berry,hybrid,Berry,Citrus,Pungent,Happy,100,Creative,80,Uplifted,60,Hungry,60,Energetic,40,Pain,100,Stress,100,Depression,50,Nausea,50,Fatigue,25,,,,,,,,,,
Lifesaver,hybrid,Sweet,Berry,Citrus,Relaxed,100,Euphoric,98.48484848,Energetic,80.3030303,Happy,28.78787879,Uplifted,24.24242424,Stress,100,Pain,96.96969697,Depression,92.42424242,Muscle Spasms,77.27272727,Nausea,77.27272727,Dry Mouth,100,Dry Eyes,30.76923077,Dizzy,15.38461538,Paranoid,15.38461538,,
Patti Cake,hybrid,Sweet,Earthy,Nutty,Uplifted,100,Giggly,100,Hungry,100,Relaxed,100,Depression,100,Lack of Appetite,100,Stress,100,,,,,,,,,,,,,,,,
Shark Attack,indica,Earthy,Spicy/Herbal,Pungent,Relaxed,100,Happy,94.59459459,Tingly,91.89189189,Euphoric,91.89189189,Focused,91.89189189,Pain,100,Stress,100,Insomnia,66.66666667,Cramps,33.33333333,Headaches,33.33333333,Dry Mouth,100,Dry Eyes,97.14285714,Paranoid,91.42857143,Dizzy,88.57142857,Headache,2.857142857
Granddaddy Purple,indica,Grape,Berry,Sweet,Relaxed,100,Sleepy,75.48809493,Euphoric,66.83084088,Happy,61.36382204,Hungry,43.40655177,Stress,100,Pain,85.55041625,Insomnia,82.27743553,Depression,63.30327217,Lack of Appetite,41.1492215,Dry Mouth,100,Dry Eyes,50.76349947,Dizzy,22.95892743,Anxious,10.88808347,Headache,7.056161412
Carl Sagan,hybrid,Sweet,Tropical,Earthy,Happy,100,Relaxed,96.84210526,Uplifted,93.68421053,Focused,93.68421053,Creative,41.05263158,Stress,100,Depression,81.81818182,Fatigue,54.54545455,Muscle Spasms,36.36363636,Pain,36.36363636,Dry Mouth,100,Dizzy,28.57142857,Dry Eyes,28.57142857,,,,
Satellite OG,indica,Earthy,Sweet,Pine,Euphoric,100,Happy,96.47141849,Relaxed,64.92589979,Focused,59.49188426,Creative,52.50529287,Stress,100,Depression,98.95988113,Lack of Appetite,96.87964339,Insomnia,88.41010401,Headaches,85.2897474,Dry Mouth,100,Paranoid,90.84668192,Dry Eyes,48.66514111,Anxious,42.71548436,Dizzy,1.601830664
Six Shooter,hybrid,Sweet,Skunk,Citrus,Creative,100,Euphoric,75,Focused,75,Happy,75,Relaxed,75,Depression,100,Headaches,100,Stress,100,Fatigue,50,Lack of Appetite,50,,,,,,,,,,
LA Ultra,indica,Lemon,Chemical,Lime,Euphoric,100,Happy,100,Relaxed,100,Sleepy,54.54545455,Tingly,54.54545455,Insomnia,100,Stress,85.71428571,Pain,71.42857143,Headaches,57.14285714,Cramps,42.85714286,Dry Mouth,100,Dry Eyes,80,Dizzy,20,Paranoid,20,,
Tangerine Man,sativa,Citrus,Orange,Grapefruit,Euphoric,100,Energetic,70,Happy,70,Uplifted,60,Aroused,40,Stress,100,Depression,80,Fatigue,80,Pain,60,Insomnia,20,Dry Mouth,100,Anxious,100,Dizzy,33.33333333,Dry Eyes,33.33333333,Paranoid,33.33333333
Marley's Collie,hybrid,Menthol,Spicy/Herbal,Mint,Relaxed,100,Happy,95.77464789,Creative,91.54929577,Focused,91.54929577,Hungry,87.32394366,Stress,100,Depression,50,Insomnia,50,Lack of Appetite,50,Dizzy,100,Dry Mouth,100,Paranoid,100,Anxious,100,,,,
Kuato,hybrid,Sweet,Orange,Pungent,Talkative,100,Euphoric,100,Aroused,50,Tingly,50,Uplifted,50,Depression,100,Pain,100,Dry Mouth,100,,,,,,,,,,,,,,
Sour Patch Kiss,hybrid,Citrus,Sweet,Flowery,Uplifted,100,Relaxed,88.91625616,Focused,87.80788177,Euphoric,80.91133005,Creative,73.89162562,Stress,100,Depression,48.80136986,Lack of Appetite,28.93835616,Spasticity,28.93835616,Pain,19.8630137,Dry Mouth,100,Dry Eyes,37.21633888,Dizzy,30.10590015,Headache,6.505295008,,
Death Star OG,indica,Earthy,Pungent,Diesel,Uplifted,100,Euphoric,95.74366332,Relaxed,94.15590626,Sleepy,82.94595887,Talkative,73.7637494,Pain,100,Stress,87.79773786,Depression,79.50765136,Insomnia,62.59481038,Lack of Appetite,46.70658683,Dry Mouth,100,Dizzy,67.41979214,Paranoid,67.41979214,Dry Eyes,33.59692725,Anxious,16.47085404
Blue Moonshine,indica,Blueberry,Berry,Earthy,Relaxed,100,Sleepy,97.03103914,Focused,70.71524966,Happy,30.76923077,Hungry,27.66531714,Stress,100,Insomnia,95.72368421,Lack of Appetite,21.71052632,Pain,15.95394737,Depression,14.30921053,Dry Mouth,100,Anxious,72.22222222,Dry Eyes,28.88888889,Dizzy,6.666666667,Headache,5.555555556
Triple Cheese,indica,Cheese,Blueberry,Blue Cheese,Relaxed,100,Euphoric,86.50387484,Happy,83.08232198,Sleepy,32.68021641,Giggly,24.87205732,Pain,100,Stress,81.66666667,Lack of Appetite,59.16666667,Depression,51.66666667,Insomnia,40.83333333,Dry Eyes,100,Dry Mouth,44.89795918,Headache,18.36734694,,,,
Ice Queen,hybrid,Sweet,Pepper,Spicy/Herbal,Happy,100,Creative,92.45283019,Relaxed,91.50943396,Euphoric,56.60377358,Talkative,47.16981132,Stress,100,Depression,90.90909091,Nausea,81.81818182,Lack of Appetite,80,Insomnia,78.18181818,Headache,100,Dry Mouth,24.3902439,Dry Eyes,19.51219512,Dizzy,7.317073171,Paranoid,2.43902439
Smelliot,hybrid,Sweet,Citrus,Pungent,Happy,100,Uplifted,75,Creative,75,Euphoric,75,Focused,50,Depression,100,Insomnia,100,Fatigue,50,Muscle Spasms,50,Stress,50,Dizzy,100,,,,,,,,
Citrus Kush,hybrid,Citrus,Orange,Lemon,Happy,100,Relaxed,90.85365854,Uplifted,70.12195122,Euphoric,53.65853659,Giggly,45.12195122,Stress,100,Muscle Spasms,78.08219178,Pain,63.01369863,Fatigue,60.2739726,Depression,38.35616438,Dry Eyes,100,Dizzy,86.66666667,Dry Mouth,80,Paranoid,57.77777778,Headache,6.666666667
Remo Chemo,hybrid,Spicy/Herbal,Pepper,Earthy,Euphoric,100,Happy,100,Hungry,100,Relaxed,100,Sleepy,33.33333333,Depression,100,Inflammation,100,Insomnia,100,Pain,100,Stress,100,Dry Eyes,100,Dry Mouth,50,,,,,,
Blue Thai,hybrid,Earthy,Woody,Sweet,Relaxed,100,Uplifted,96,Happy,96,Euphoric,56,Talkative,36,Fatigue,100,Stress,100,Depression,50,Insomnia,50,Pain,50,Dry Mouth,100,,,,,,,,
Sour Joker,sativa,Sweet,Citrus,Diesel,Happy,100,Energetic,88.95366218,Relaxed,74.36472347,Focused,74.1554559,Creative,68.63976084,Depression,100,Stress,85.54054054,Inflammation,41.48648649,Pain,38.70870871,Fatigue,37.04204204,Dry Mouth,100,Anxious,32.95910184,Dry Eyes,25.02004812,Paranoid,20.44907779,Dizzy,10.22453889
Grape Valley Kush,indica,Grape,Berry,Sweet,Relaxed,100,Uplifted,82.85714286,Happy,68.57142857,Euphoric,51.42857143,Talkative,30,Depression,100,Pain,100,Stress,91.66666667,Insomnia,83.33333333,Lack of Appetite,58.33333333,Dry Mouth,100,Dizzy,16.66666667,Dry Eyes,5.555555556,,,,
Purple Frost,hybrid,Earthy,Diesel,Sweet,Relaxed,100,Talkative,60,Euphoric,40,Happy,40,Sleepy,20,Depression,100,Nausea,66.66666667,Stress,66.66666667,Eye Pressure,33.33333333,Insomnia,33.33333333,Dry Mouth,100,Dry Eyes,66.66666667,,,,,,
Wappa,hybrid,Earthy,Pine,Tea,Relaxed,100,Happy,94.56930305,Uplifted,80.79483164,Creative,60.09005482,Giggly,51.70712608,Stress,100,Depression,90.96098953,Pain,88.71204913,Lack of Appetite,51.44883661,Insomnia,50.28111755,Dry Eyes,100,Dry Mouth,81.05752469,Paranoid,36.8003099,Anxious,25.37284525,Dizzy,3.776873911
Afghan Big Bud,indica,Vanilla,Sweet,Earthy,Euphoric,100,Happy,83.33333333,Uplifted,66.66666667,Creative,50,Hungry,38.88888889,Pain,100,Stress,92.30769231,Insomnia,53.84615385,Nausea,53.84615385,Depression,38.46153846,Dry Mouth,100,Dry Eyes,50,Paranoid,12.5,,,,
The White Angel,hybrid,Pungent,Citrus,Diesel,Relaxed,100,Sleepy,75,Tingly,75,Euphoric,75,Aroused,25,Depression,100,Stress,100,Lack of Appetite,75,Insomnia,25,Pain,25,Dry Eyes,100,Dry Mouth,100,Anxious,33.33333333,,,,
Flo,hybrid,Sweet,Flowery,Earthy,Uplifted,100,Happy,96.87074444,Relaxed,81.13368134,Energetic,58.32955061,Focused,52.67816614,Pain,100,Stress,94.08275357,Inflammation,89.66678872,Fatigue,84.91395093,Depression,83.46393263,Dry Mouth,100,Dry Eyes,59.10973085,Headache,13.88198758,Dizzy,13.70600414,Anxious,7.443064182
U2 Kush,indica,Lavender,Sweet,Skunk,Relaxed,100,Happy,96.88581315,Uplifted,84.77508651,Euphoric,76.47058824,Hungry,65.05190311,Insomnia,100,Stress,63.63636364,Pain,54.54545455,Depression,36.36363636,Nausea,27.27272727,Dry Mouth,100,Dizzy,49.25373134,Dry Eyes,4.47761194,Headache,4.47761194,Anxious,4.47761194
3X Crazy,indica,Earthy,Woody,Berry,Relaxed,100,Sleepy,65.55695942,Happy,54.65724444,Euphoric,32.9151118,Tingly,28.69127024,Insomnia,100,Stress,65.03707773,Pain,63.45784125,Depression,62.2734139,Lack of Appetite,50,Dry Mouth,100,Dry Eyes,45.09248773,Anxious,5.442305272,Paranoid,4.718761797,Dizzy,2.170630427
Moby Dick,sativa,Sweet,Pine,Citrus,Uplifted,100,Euphoric,93.4237029,Happy,87.19443002,Energetic,85.36171939,Relaxed,76.91923619,Stress,100,Depression,75.55131807,Pain,55.32393009,Fatigue,35.70793317,Lack of Appetite,17.8354061,Dry Mouth,100,Dry Eyes,60.15878344,Anxious,38.74145902,Paranoid,29.55832504,Dizzy,25.6557272
Murkle,indica,Sweet,Earthy,Pungent,Sleepy,100,Talkative,100,Euphoric,100,Happy,100,Hungry,100,Depression,100,Inflammation,100,Insomnia,100,Pain,100,Stress,100,Dry Mouth,100,Dizzy,80,Dry Eyes,80,Paranoid,80,,
AK-48,hybrid,Earthy,Tropical,Flowery,Happy,100,Uplifted,91.64959311,Talkative,84.00957396,Energetic,71.98851125,Euphoric,63.93298229,Stress,100,Depression,92.01253651,Pain,31.65165531,Headaches,23.66419182,Nausea,16.14532619,Dry Eyes,100,Dry Mouth,89.77806987,Paranoid,23.63884536,Dizzy,23.10803296,Anxious,18.3307214
Cowboy Kush,hybrid,Earthy,Pine,Diesel,Happy,100,Relaxed,100,Euphoric,71.42857143,Uplifted,57.14285714,Creative,42.85714286,Stress,100,Depression,80,Headaches,60,Pain,60,Inflammation,40,Dry Mouth,100,Dry Eyes,75,Dizzy,25,,,,
White Walker Kush,hybrid,Earthy,Woody,Spicy/Herbal,Relaxed,100,Uplifted,79.64940029,Focused,70.0540398,Happy,60.78819033,Euphoric,55.19968367,Stress,100,Depression,99.21394395,Pain,72.09501025,Lack of Appetite,67.20779221,Headaches,51.26452495,Dry Mouth,100,Dry Eyes,54.91930135,Headache,53.90227725,Paranoid,6.721202742,Dizzy,2.034048198
Toxic Punch,hybrid,Berry,Pine,Lemon,Happy,100,Hungry,75,Energetic,62.5,Euphoric,62.5,Uplifted,50,Stress,100,Depression,66.66666667,Insomnia,33.33333333,Lack of Appetite,33.33333333,Pain,33.33333333,Dry Eyes,100,Dry Mouth,100,Anxious,100,Dizzy,50,Headache,50
Primus,indica,Flowery,Skunk,Sweet,Relaxed,100,Happy,90.30927835,Euphoric,42.50678242,Sleepy,35.46391753,Hungry,35.46391753,Stress,100,Pain,99.70053903,Insomnia,54.3821122,Inflammation,48.05350369,Nausea,10.26152925,Dry Eyes,100,Dry Mouth,94.45052939,Anxious,1.095290252,Dizzy,0.547645126,Paranoid,0.547645126
Blue Zkittlez,indica,Sweet,Citrus,Berry,Happy,100,Uplifted,98.66071429,Creative,80.6547619,Euphoric,76.19047619,Relaxed,72.32142857,Pain,100,Stress,100,Depression,73.76373626,Insomnia,47.52747253,Lack of Appetite,41.34615385,Dry Mouth,100,Dizzy,43.05555556,Dry Eyes,9.259259259,Headache,2.314814815,Anxious,2.314814815
Blue Zombie,indica,Earthy,Woody,Pungent,Sleepy,100,Relaxed,80,Hungry,52.72727273,Euphoric,49.09090909,Happy,38.18181818,Pain,100,Muscle Spasms,93.65079365,Insomnia,73.01587302,Cramps,60.31746032,Depression,60.31746032,Dry Mouth,100,Paranoid,82.60869565,Anxious,82.60869565,Dry Eyes,26.08695652,Dizzy,8.695652174
The Hog,indica,Earthy,Pungent,Pine,Relaxed,100,Happy,35.03744709,Sleepy,29.66460436,Euphoric,28.98078802,Hungry,15.17421035,Stress,100,Pain,78.53025937,Insomnia,57.06051873,Nausea,28.53025937,Headaches,25.50432277,Dry Mouth,100,Dry Eyes,94.50980392,Dizzy,7.549019608,Headache,3.431372549,Paranoid,3.431372549
Kiss,hybrid,Cheese,Earthy,Skunk,Sleepy,100,Hungry,100,Creative,66.66666667,Euphoric,66.66666667,Focused,66.66666667,Fatigue,100,Lack of Appetite,100,Pain,100,Stress,100,Depression,50,Dry Mouth,100,Paranoid,100,Anxious,50,,,,
Berry OG,hybrid,Berry,Blueberry,Earthy,Euphoric,100,Relaxed,89.68163729,Creative,75.72484366,Happy,59.12450256,Uplifted,47.72598067,Stress,100,Fatigue,92.03539823,Cramps,81.9216182,Headaches,20.22756005,Pain,14.66498104,Dry Mouth,100,Paranoid,50.84635417,Anxious,9.537760417,Dry Eyes,6.380208333,Headache,0.29296875
Lime Purple Mist,indica,Berry,Lime,Spicy/Herbal,Happy,100,Relaxed,100,Sleepy,66.66666667,Tingly,66.66666667,Uplifted,33.33333333,Cramps,100,Lack of Appetite,100,Pain,100,Stress,100,Depression,50,Dry Mouth,100,,,,,,,,
Jilly Dawg,hybrid,Citrus,Mango,Pungent,Uplifted,100,Happy,100,Energetic,50,Euphoric,50,Focused,50,Depression,100,Stress,100,Dry Mouth,100,,,,,,,,,,,,,,
Jack Wreck,sativa,Citrus,Pungent,Pine,Uplifted,100,Energetic,89.01098901,Giggly,82.41758242,Happy,16.11721612,Relaxed,16.11721612,Pain,100,Depression,93.5483871,Lack of Appetite,61.29032258,Stress,51.61290323,Cramps,48.38709677,Dry Mouth,100,Paranoid,88.70292887,Dry Eyes,2.510460251,Dizzy,0.836820084,,
Charlotte's Web,sativa,Earthy,Citrus,Flowery,Relaxed,100,Uplifted,91.31362165,Happy,72.99941159,Focused,71.67549279,Creative,49.8308326,Stress,100,Pain,99.53243136,Inflammation,64.14643852,Depression,59.95821727,Muscle Spasms,56.57580581,Dry Mouth,100,Dry Eyes,96.43281807,Paranoid,83.73959572,Dizzy,31.53983353,Anxious,10.90963139
Fruit Loops,hybrid,Citrus,Berry,Lemon,Happy,100,Relaxed,86.78236098,Euphoric,85.78529694,Uplifted,70.30028197,Creative,63.03305136,Stress,100,Depression,55.65277232,Pain,50.49154542,Lack of Appetite,49.50845458,Fatigue,45.7727094,Dry Mouth,100,Dry Eyes,20.6996572,Anxious,18.94172453,,,,
Super Sour Skunk,hybrid,Citrus,Pungent,Skunk,Happy,100,Uplifted,89.53488372,Euphoric,87.20930233,Giggly,87.20930233,Creative,86.04651163,Stress,100,Depression,98.63013699,Pain,95.89041096,Fatigue,91.78082192,Lack of Appetite,8.219178082,Dry Eyes,100,Dry Mouth,100,Anxious,57.14285714,Paranoid,28.57142857,Dizzy,14.28571429
Critical Plus,hybrid,Pine,Earthy,Woody,Relaxed,100,Happy,59.3676815,Sleepy,43.09133489,Focused,34.19203747,Uplifted,21.31147541,Stress,100,Depression,95.96774194,Fatigue,81.4516129,Lack of Appetite,79.03225806,Pain,70.16129032,Dry Mouth,100,Dry Eyes,8.843537415,Anxious,7.029478458,Dizzy,6.575963719,Paranoid,2.267573696
Honduras,sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Jones,sativa,Citrus,Earthy,Diesel,Uplifted,100,Happy,99.0576865,Focused,85.26125038,Energetic,84.00684587,Euphoric,74.4508205,Stress,100,Depression,95.11384682,Pain,72.88648001,Fatigue,66.34437303,Lack of Appetite,63.86588953,Dry Eyes,100,Dry Mouth,85.03768379,Anxious,10.46909106,Paranoid,7.108438697,Dizzy,2.56991063
